y,c,b
1925,77.5,65584.58652
1926,301.2,66218.78028
1927,471.3,66522.08342
1928,833.7,66631.89567
1929,199.9,66438.08598
1930,553.9,66842.37259
1931,291.2,66848.33667
1932,318.7,67041.82946
1933,293,67227.21858
1934,719,67396.20888
1935,1290,67160.07199
1936,1302,66366.13633
1937,1347,65602.33798
1938,2177,64876.51816
1939,1868,63416.2595
1940,1156,62350.82252
1941,1451,54396.99516
1942,2261,53613.68164
1943,2044,52061.24993
1944,2007,50894.98708
1945,1693,42377.10115
1946,1582,40015.70621
1947,1047,39222.23042
1948,966,39059.65974
1949,883,38891.45833
1950,687,38820.00201
1951,607,38937.78149
1952,480,39151.79634
1953,486,39491.65039
1954,659,39799.32159
1955,526,39940.19563
1956,436,40214.60972
1957,287,40533.22131
1958,280,41045.35387
1959,356,41483.63938
1960,731,41828.81384
1961,719,41784.55817
1962,1066,41671.24822
1963,999,41287.92715
1964,598,40976.97342
1965,827,41098.26132
1966,1145,40984.10264
1967,845,40536.46608
1968,775,40420.31117
1969,485,40398.70984
1970,471,40616.50247
1971,210,40899.61386
1972,242,41408.61744
1973,146,41854.70403
1974,120,42364.06724
1975,59,42857.18907
1976,65,41745.68655
1977,72,41614.66906
1978,79,42062.2628
1979,87,42585.49773
1980,96,43015.86164
1981,105,43524.65407
1982,115,43969.59074
1983,127,44324.75221
1984,140,44563.28031
1985,154,44427.18335
1986,169,44122.17533
1987,186,43351.96577
1988,204,43089.886
1989,225,42576.88472
1990,247,42182.56043
1991,272,41580.1941
1992,299,41101.38623
1993,329,40866.2032
1994,345,40795.51831
1995,362,40181.48431
1996,380,40097.78957
1997,399,40068.79317
1998,419,40120.52872
1999,440,40047.85993
2000,462,39735.59526
2001,485,39687.87238
2002,509,39472.38161
2003,535,39375.28722
2004,562,39346.68428
2005,590,39724.22106
2006,619,39516.74097
2007,650,39672.13061
2008,682,39944.58654
2009,717,39946.33665
2010,752,39784.19437
2011,790,39255.32191
2012,869,39396.95204
2013,956,39582.11223
2014,1051,39298.37285
2015,1156,39117.72833
2016,1272,38609.51846
2017,1400,37863.87292
