years,length,weight
0.5,7.06,0.002
1.5,38.88,0.371
2.5,65.61,1.842
3.5,88.08,4.541
4.5,106.96,8.232
5.5,122.83,12.575
6.5,136.16,17.243
7.5,147.36,21.968
8.5,156.77,26.557
9.5,164.68,30.879
10.5,171.33,34.858
11.5,176.91,38.458
12.5,181.61,41.67
13.5,185.55,44.504
14.5,188.86,46.984
15.5,191.65,49.139
16.5,193.99,51
17.5,195.95,52.6
18.5,197.61,53.971
19.5,199,55.141
20.5,200.16,56.137
21.5,201.14,56.984
22.5,201.97,57.702
23.5,202.66,58.31
24.5,203.24,58.824
25.5,203.73,59.258
26.5,204.14,59.625
