Time_to_Harvest,Totoaba_Age,Weight_Totoaba,Length_Totoaba,Number_Individuals,Gamma,Weight_Buche,Target_Buche_Weight_kg,Cage_Capacity_kg,Cost_v
,0.5,,,,,,500,144000,
,1,,,,,,500,144000,
,1.5,,,,,,500,144000,
,2,,,,,,500,144000,
,2.5,,,,,,500,144000,
,3,,,,,,500,144000,
,3.5,,,,,,500,144000,
,4,,,,,,500,144000,
,4.5,,,,,,500,144000,
,5,,,,,,500,144000,
,5.5,,,,,,500,144000,
,6,,,,,,500,144000,
,6.5,,,,,,500,144000,
,7,,,,,,500,144000,
,7.5,,,,,,500,144000,
,8,,,,,,500,144000,
,8.5,,,,,,500,144000,
,9,,,,,,500,144000,
,9.5,,,,,,500,144000,
,10,,,,,,500,144000,
