"","gamma","v","c","alpha","ss_monop_1","ss_monop_2","ss_monop_3","ss_cournot_1","ss_cournot_2","ss_cournot_3","ss_bertrand_1","ss_bertrand_2","ss_bertrand_3"
"1",0.001145924,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"2",0.017043608,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"3",0.064074078,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"4",0.149723219,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"5",0.274449928,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"6",0.434338158,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"7",0.623180841,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"8",0.833920197,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"9",1.059562923,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"10",1.293710739,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"11",0.0010313316,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"12",0.0153392472,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"13",0.0576666702,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"14",0.1347508971,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"15",0.2470049352,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"16",0.3909043422,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"17",0.5608627569,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"18",0.7505281773,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"19",0.9536066307,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"20",1.1643396651,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"21",0.0012605164,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"22",0.0187479688,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"23",0.0704814858,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"24",0.1646955409,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"25",0.3018949208,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"26",0.4777719738,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"27",0.6854989251,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"28",0.9173122167,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"29",1.1655192153,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"30",1.4230818129,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"31",0.0013751088,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"32",0.0204523296,2000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"33",0.0768888936,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"34",0.1796678628,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"35",0.3293399136,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"36",0.5212057896,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"37",0.7478170092,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"38",1.0007042364,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"39",1.2714755076,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"40",1.5524528868,2000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"41",0.001145924,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"42",0.017043608,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"43",0.064074078,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"44",0.149723219,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"45",0.274449928,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"46",0.434338158,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"47",0.623180841,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"48",0.833920197,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"49",1.059562923,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"50",1.293710739,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"51",0.0010313316,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"52",0.0153392472,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"53",0.0576666702,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"54",0.1347508971,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"55",0.2470049352,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"56",0.3909043422,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"57",0.5608627569,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"58",0.7505281773,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"59",0.9536066307,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"60",1.1643396651,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"61",0.0012605164,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"62",0.0187479688,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"63",0.0704814858,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"64",0.1646955409,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"65",0.3018949208,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"66",0.4777719738,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"67",0.6854989251,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"68",0.9173122167,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"69",1.1655192153,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"70",1.4230818129,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"71",0.0013751088,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"72",0.0204523296,3000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"73",0.0768888936,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"74",0.1796678628,3000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
