month,vessels,days_permonth,sets_perday,totoaba_t_per_vessel,price_poachers_per_t,vesseldays_month,bribe_permonth,foodfuel_permonth,gear_loss_perday,gear_replacement_permonth,prob_fine,fine,prob_gear_conf,gear_conf,prob_vessel_conf,vessel_cost
1,5,4,2,0.8,0.4855,20,120,2100,0.5,6400,0.005729167,7425,0.216145833,1600,0.054666667,15000
2,20,12,3,4.95,0.4855,240,360,6300,0.5,28800,0.005729167,7425,0.216145833,1600,0.054666667,15000
3,50,12,3,9.88,0.4855,600,360,6300,0.5,28800,0.005729167,7425,0.216145833,1600,0.054666667,15000
4,50,16,3,13.16,0.4855,800,480,8400,0.5,38400,0.005729167,7425,0.216145833,1600,0.054666667,15000
5,20,12,3,4.95,0.4855,240,360,6300,0.5,28800,0.005729167,7425,0.216145833,1600,0.054666667,15000
6,5,4,2,0.8,0.4855,20,120,2100,0.5,6400,0.005729167,7425,0.216145833,1600,0.054666667,15000
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
